# MPI Bandwidth Test
# Size [B]    Bandwidth [MB/s]
1                         1.00
2                         2.06
4                         4.17
8                         8.35
16                       16.75
32                       33.28
64                       64.98
128                     117.33
256                     229.43
512                     437.81
1024                    803.66
2048                   1403.76
4096                   2277.94
8192                   3313.54
16384                  4351.93
32768                  5204.96
65536                  5585.18
131072                 5822.76
262144                 5886.25
524288                 5953.50
1048576                5986.05
2097152                5987.87
4194304                5996.26
8388608                5945.03
16777216               5489.93
33554432               5487.43
67108864               5493.78
134217728              5493.62
