2
# MPI Bandwidth Test
# Size [B]    Bandwidth [MB/s]
1                         0.23
2                         0.48
4                         0.95
8                         1.86
16                        3.80
32                        7.18
64                       13.50
128                      24.26
256                      36.08
512                      43.14
1024                     46.40
2048                     91.09
4096                    109.93
8192                    113.87
16384                   115.62
2
